celltype,emerges_at_K,best_consecutive_persistence,best_persistence_start_K,best_persistence_end_K
Mast,5.0,19.0,5.0,23.0
DC_pDC,6.0,10.0,6.0,15.0
Mono_CD14_ID1,7.0,4.0,7.0,10.0
Mono_CD16,10.0,4.0,12.0,15.0
Mac_SPP1,19.0,10.0,6.0,15.0
cDC2_CD33,20.0,8.0,7.0,14.0
Mac_IL1B,25.0,7.0,23.0,29.0
Mac_CXCL9,,10.0,6.0,15.0
Mac_IL1Bint,,10.0,6.0,15.0
Mono_CD14,,4.0,20.0,23.0
Mono_CD14_IL1B,,3.0,12.0,14.0
Mono_CD14_THBS1,,4.0,20.0,23.0
Mono_Int,,1.0,35.0,35.0
Mono_TIL,,,,
cDC1_CLEC9A,,20.0,6.0,25.0
cDC2_CD1C,,20.0,6.0,25.0
mregDC_LAMP3,,17.0,9.0,25.0
